#,File Name,Type,Date Modified,Modified By,link
2,A1C loinc.txt,txt,20-Mar-25,Xuanyao He,https://collab.lilly.com/:t:/s/CMHRWEprojectcodelist/IQCtvMvE7BwCSJHO90rmj6H2Aa6X4T5vn21ikzSY90d7rUA?e=wNAu5m
3,All GLP.txt,txt,20-Mar-25,Xuanyao He,https://collab.lilly.com/:t:/s/CMHRWEprojectcodelist/IQDhT0msDywYSIh41sR0yrURAT33DDInosfEMtfR4LeyYr0?e=pejfVk
4,Anti_Androgen_PCOS_NDC_Master_Updated.xlsx,xlsx,Yesterday at 10:55 ...,Di Zhang,https://collab.lilly.com/:x:/s/CMHRWEprojectcodelist/IQB8mvyxeA9ESqsI-sNXprWuAeTiNgGVcg4_-Sq5tm3WaBA?e=UlSZYm
5,Antihyperglycemic_NDC_Code_List.xlsx,xlsx,Yesterday at 10:55 ...,Di Zhang,https://collab.lilly.com/:x:/s/CMHRWEprojectcodelist/IQDodL9Q9hupSoXwL-loql98ATZyGxTIeR2HnDHhRdZHDs4?e=dy0UU4
6,AOMs_execpt_GLP1.xlsx,xlsx,31-Oct-25,Di Zhang,https://collab.lilly.com/:x:/s/CMHRWEprojectcodelist/IQDEBA9o9R7pT5hFeSyH7hVLAWTZ22sJ3cv2gt6qRuipYnw?e=Johnsq
7,Biomarkers_Diab_Obes.xlsx,xlsx,4-Mar,Chris Colby - Network,https://collab.lilly.com/:x:/s/CMHRWEprojectcodelist/IQBiUeLIUj8sQrvDIY6kKtckAYwv2JudkfLNA-GgKn9Ycos?e=Ee9VF1
9,BMI LOINC.txt,txt,20-Mar-25,Xuanyao He,https://collab.lilly.com/:t:/s/CMHRWEprojectcodelist/IQBL18GgLMZVTZy4fVZF0l3gAapcmXbJCQlV9MepqEF3LFk?e=p1GFtp
10,BMI Z codes FULL RANGE.txt,txt,20-Mar-25,Xuanyao He,https://collab.lilly.com/:t:/s/CMHRWEprojectcodelist/IQCQvfvydb1UQK-pkgCWYIXlAQZ3QS0D50BEMthXBvZZkFM?e=4Y4fce
11,codes_ORC.xlsx,xlsx,2-Sep-25,Yimeng Shang,https://collab.lilly.com/:x:/s/CMHRWEprojectcodelist/IQA05K8sA15VRrTvlm5zWXm5AYw5FHo9w9p13alfW17MmT4?e=zw5hiQ
12,DIA_STANDARD_MED_Anti_Diabetic_Medication_List_NDC_V7.xlsx,xlsx,4-Mar,Xuanyao He,https://collab.lilly.com/:x:/s/CMHRWEprojectcodelist/IQBe6aqBvuqDQpS7IGeihawRAUocg9ShiAjxNmhSlI51FgQ?e=787OhW
13,DIA_STANDARD_MED_Antihypertensive Medication Code List_V5.xlsb,xlsb,20-Mar-25,Xuanyao He,https://collab.lilly.com/:x:/s/CMHRWEprojectcodelist/IQBKzO6BEA-BRIvEI0oxXYVBAUJWN51bkgjyqpMrVlcT9Q4?e=1HyZyU
14,DIA_STANDARD_MED_Hyperlipidemia Medication Code List_V5.xlsx,xlsx,20-Mar-25,Xuanyao He,https://collab.lilly.com/:x:/s/CMHRWEprojectcodelist/IQAcMV7z5zDXQ55isnq1lQ6_AamTjh_iBpgfrELs1VRhF6Y?e=7OPvTX
15,DIA_STANDARD_MED_Obesity_Medication Code List_V6.xlsx,xlsx,31-Oct-25,Xuanyao He,https://collab.lilly.com/:x:/s/CMHRWEprojectcodelist/IQCjwI04jJGjQYCojEaCNe50ARMERqpLSJkyXqc7TPF98vU?e=mrft90
16,Diab_drug_amylin.xlsx,xlsx,13-Jan,Yimeng Shang,https://collab.lilly.com/:x:/s/CMHRWEprojectcodelist/IQCZ5uxRDn9SQKRdk9NO0YSyAb31h17lRMrpzqpj600k9DE?e=jqdUXi
18,Diab_drug_exl_GLP.xlsx,xlsx,8-Sep-25,Yimeng Shang,https://collab.lilly.com/:x:/s/CMHRWEprojectcodelist/IQB_fNW_ulRPTpYHTfwDK875AZX_2unyvWf3LpiF6b_MrCg?e=A5Wqzx
19,Diagnosis - Type 1 Diabetes T1D ICD-10.txt,txt,20-Mar-25,Xuanyao He,https://collab.lilly.com/:t:/s/CMHRWEprojectcodelist/IQBSsP7NmBfRQYJKB7fFK1xtAaS_WIAO1E62THfDwYNEJ9I?e=O1fdmH
20,Diagnosis - Type 2 diabetes T2D ICD-10.txt,txt,20-Mar-25,Xuanyao He,https://collab.lilly.com/:t:/s/CMHRWEprojectcodelist/IQAP22UYjvhPQLnp8DBOGGKxAXCVpSlEVGpAN9c7Jvy1QPk?e=VgyNS8
21,Gest DM.txt,txt,20-Mar-25,Xuanyao He,https://collab.lilly.com/:t:/s/CMHRWEprojectcodelist/IQBfUHmcfZeKSrEmxPDEC2N0AR1bEnoZ_orXZBegQm0mGY8?e=9dX7Lb
22,Hormonal_Contraception_Claims_Code_List.xlsx,xlsx,Yesterday at 10:55 ...,Di Zhang,https://collab.lilly.com/:x:/s/CMHRWEprojectcodelist/IQAIzvO7o5NdSohXQxaSB9zVAUazbgkdZ7mxOh23tLe1jPc?e=3UN7VS
23,MOunjaro.txt,txt,20-Mar-25,Xuanyao He,https://collab.lilly.com/:t:/s/CMHRWEprojectcodelist/IQCRjYnJcQHQR6-WUoTh3diJATGoZoFDVpY72nN8wscQi18?e=UgHvEb
24,non-GLP1_AOM.xlsx,xlsx,20-Mar-25,Xuanyao He,https://collab.lilly.com/:x:/s/CMHRWEprojectcodelist/IQCKVqQN2iKJTLyVq4wFAVdYAenQHjwsxeL6sO-6NofTqlo?e=wr4HDA
25,ORCs.xlsx,xlsx,24-Mar-25,Xuanyao He,https://collab.lilly.com/:x:/s/CMHRWEprojectcodelist/IQDJwXPqOLo1RI6ZWq7--fYBAeb8fAdhSwfP0vXKkqdvnFo?e=j7hqy8
26,Other Diabetes.txt,txt,20-Mar-25,Xuanyao He,https://collab.lilly.com/:t:/s/CMHRWEprojectcodelist/IQARrNuLQKnIToVia8eyveXbAdNic4Pfg1TlPXKAoziEb80?e=N8Jm7l
27,Saxenda NDC.txt,txt,20-Mar-25,Xuanyao He,https://collab.lilly.com/:t:/s/CMHRWEprojectcodelist/IQCnpr77jo07QoiBQDCL9LH2AW6Wq6ly09959FwfLtDO65g?e=ABWv3V
28,Sulfonylurea_NDC_Codes_No_Dash.xlsx,xlsx,Yesterday at 10:55 ...,Di Zhang,https://collab.lilly.com/:x:/s/CMHRWEprojectcodelist/IQABeCMpKjrBRJ9DOKgmJ9zCAR_6IvHii7dXMGCxEEx79DA?e=f9msgh
29,T2D Diabetes Treatment Code List April 2026_Kendra_OFGproject.xlsx,xlsx,About an hour ago,Xuanyao He,https://collab.lilly.com/:x:/s/CMHRWEprojectcodelist/IQDNEZbyUlYNQbxHp03G4TETAd7Z79puvQ29hTzL2QkKqDo?e=L7nSjX
30,TZD_NDC_Codes_No_Dash.xlsx,xlsx,Yesterday at 10:55 ...,Di Zhang,https://collab.lilly.com/:x:/s/CMHRWEprojectcodelist/IQDyCN2URW8sR5718vwS8zroAZ3qQ9g_cNQ-wEewmuaYhUg?e=mkWrYP
31,Wegovy NDC.txt,txt,20-Mar-25,Xuanyao He,https://collab.lilly.com/:t:/s/CMHRWEprojectcodelist/IQBx0g1R_3oTTb4BbMe9biArAZIkK3yhoth7sdAMTYlte90?e=aNVpVq
32,Zepbound NDC.txt,txt,20-Mar-25,Xuanyao He,https://collab.lilly.com/:t:/s/CMHRWEprojectcodelist/IQALgW2ysPUlRLU9HxR6u4asAaZ_PgkE1MBsaf-1LRQrZEE?e=GR8v51
33,NDC_SGLT2_Inhibitors_All,xlsx,16-Apr-26,Ernesto Ulloa,
